incident_id,reason,responsible_dept,action_plan
INC-0001,Snagging,Dye Exhaust,
INC-0002,Reverside variation,Jacquard,
INC-0003,Dye Patch,Planning,
INC-0004,Shade Variation,Planning,
INC-0005,Sample Waste,Planning,
INC-0006,Bias,Planning,
INC-0007,Edge Damage,Planning,
INC-0008,Curling,Stretchline-2,
INC-0009,Off Shade,Planning,
INC-0010,Quality Issue,Planning,
INC-0011,1mtr weight issue,Stretchline-Mexico,
INC-0012,Print damage,Value Addition,
INC-0013,1mtr weight issue,Stretchline-Mexico,
INC-0014,1mtr weight issue,Stretchline-Mexico,
INC-0015,1mtr weight issue,Stretchline-Mexico,
INC-0016,1mtr weight issue,Stretchline-Mexico,
INC-0017,Dirt Marks,Greige Stores,
INC-0018,1mtr weight issue,Stretchline-Mexico,
INC-0019,Dye Patch,Dye Range,
INC-0020,Dirt Marks,Planning,
INC-0021,Print damage,Value Addition,
INC-0022,Loop,Jacquard,
INC-0023,Loop,Weaving,
INC-0024,Dye Patch,Dye Range,
INC-0025,Print damage,Planning,
INC-0026,Reverside variation,Jacquard,
INC-0027,Reverside variation,Jacquard,
INC-0028,Reverside variation,Planning,
INC-0029,Reverside variation,Jacquard,
INC-0030,1mtr weight issue,Planning,
INC-0031,Sample Waste,Planning,
INC-0032,Line,Jacquard,
INC-0033,Sample Waste,Planning,
INC-0034,5m waste,Packing,
INC-0035,5m waste,Planning,
INC-0036,Sample Waste,Planning,
INC-0037,Yarn Missing,Sourcing,
INC-0038,Dirt Marks,Dye Range,
INC-0039,Belling,Planning,
INC-0040,1mtr weight issue,1mtr weight issue,
INC-0041,Received Less,Planning,
INC-0042,Dye Patch,Dye Range,
INC-0043,Sample Waste,Dye Range,
INC-0044,5m waste,Packing,
INC-0045,Received Less,Planning,
INC-0046,Sample Waste,Planning,
INC-0047,Sample Waste,Dye Range,
INC-0048,High joint,Planning,
INC-0049,Shade Variation,Dye Exhaust,
INC-0050,High joint,Planning,
INC-0051,Off Shade,Planning,
INC-0052,Off Shade,Planning,
INC-0053,Off Shade,Planning,
INC-0054,Off Shade,Planning,
INC-0055,Off Shade,Planning,
INC-0056,NLDA,Planning,
INC-0057,Quality Issue,Dye Range,
INC-0058,Quality Issue,Dye Range,
INC-0059,Received Less,Dye Range,
INC-0060,Shade Variation,Dye Range,
INC-0061,Low Width,Planning,
INC-0062,Batch Missing,Planning,
INC-0063,Off Shade,Dye Range,
INC-0064,Batch Missing,Planning,
INC-0065,Edge Damage,Weaving,
INC-0066,Production Waste,Dye Exhaust,
INC-0067,Received Less,Greige Stores,
INC-0068,5m waste,Packing,
INC-0069,Production Waste,Dye Range,
INC-0070,Silicon Damage,Value Addition,
INC-0071,Received Less,Planning,
INC-0072,Production Waste,Dye Range,
INC-0073,Received Less,Planning,
INC-0074,Received Less,Planning,
INC-0075,Off Shade,Sourcing,Issue the
INC-0076,Received Less,Stretchline-2,
INC-0077,Received Less,Greige Stores,
INC-0078,Received Less,Planning,
INC-0079,Dye Patch,Dye Range,
INC-0080,Dye Patch,Dye Range,
INC-0081,Order Complete,Planning,
INC-0082,Received Less,Planning,
INC-0083,Order Complete,Planning,
INC-0084,Print damage,Value Addition,
INC-0085,Edge Damage,Weaving,
INC-0086,Bonding Damage,Value Addition,
INC-0087,Silicon Damage,Value Addition,
INC-0088,Bonding Damage,Value Addition,
INC-0089,Silicon Damage,Value Addition,
INC-0090,1mtr weight issue,Stretchline-SL,
INC-0091,Line,Sourcing,To Be Confitm
INC-0092,Dye Patch,Dye Range,
INC-0093,Production Waste,Dye Range,
INC-0094,Received Less,Greige Stores,
INC-0095,5m waste,Packing,
INC-0096,Shade Variation,Dye Range,
INC-0097,Folding Marks,Dye Exhaust,
INC-0098,Dye Patch,Dye Range,
INC-0099,Dye Patch,Dye Range,
INC-0100,High letter length,Planning,
INC-0101,Shade Variation,Dye Range,
INC-0102,Sample Waste,Dye Range,
INC-0103,Off Shade,Dye Exhaust,"till stable the quality ,cannot be defined action plan"
INC-0104,5m waste,Packing,
INC-0105,Shade Variation,Dye Exhaust,use new chemical
INC-0106,Edge Damage,Jacquard,
INC-0107,Off Shade,Dye Range,
INC-0108,Snagging,Dye Exhaust,clean the damage areas
INC-0109,Dirt Marks,Weaving,
INC-0110,Bonding Damage,Value Addition,
INC-0111,Print damage,Planning,
INC-0112,Print damage,Value Addition,
INC-0113,Print damage,Value Addition,
INC-0114,Print damage,Value Addition,
INC-0115,Bonding Damage,Planning,
INC-0116,Print damage,Value Addition,
INC-0117,Print damage,Value Addition,
INC-0118,5m waste,Planning,
INC-0119,Print damage,Value Addition,
INC-0120,5m waste,Planning,
INC-0121,5m waste,Planning,
INC-0122,5m waste,Packing,
INC-0123,Received Less,Dye Range,
INC-0124,Print damage,Value Addition,
INC-0125,5m waste,Planning,
INC-0126,5m waste,Planning,
INC-0127,1mtr weight issue,Packing,
INC-0128,Received Less,Dye Exhaust,recipe RFT
INC-0129,Received Less,Planning,
